dummy header 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dummy header 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dummy header 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;867;882;997;607;662;265;20;60;411;381;498;324;534;379;277;465;145;168;402;202;438;543;239;884;562;298;995;83;467;576;163;637;345;444;739;578;451;579;739
t;VhubC;Omega;PSI;P;GenMom;Fthr;Maero;MSTor;Fyt0;Fxt0;Fzt0;Myt0;Mxt0;Fytt;Fxtt;Fztt;Mytt;Mxtt;PYtt;PXtt;FyMBr;FxMBf;FzMBf;MyMBr;MxMBr;MzMBr;Pi1;Fy11h;Fx11h;Fz11h;My11h;-Mx11h;Mz11h;PiTip1;Pi2;Fy21h;Fx21h;Fz21h;My21h
(s);m/s;rpm;deg;kW;Nm;kN;kNm;deg;kN;kN;kN;kNm;kNm;kN;kN;kN;kNm;kNm;m;m;kN;kN;kN;kNm;kNm;kNm;deg;kN;kN;kN;kNm;kNm;kNm;deg;deg;kN;kN;kN;kNm
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4;10,5;212,0000;6.730,0000;-930.764,0179;1.521.547,8741;391.522,1831;233,13;1.586.838,4742;536.030,8860;85.927,0799;-688.381,6869;1.457.951,1875;-17.078,4897;870.377,8754;1.599.213,3900;-437.957,9021;2.002.609,7019;0,27;0,30;2.023.288,6187;-955.386,1610;829.252,9421;-60.856,5981;-772.256,2456;733.582,5654;16,91;661.522,8757;1.247.815,7020;1.993.065,1704;1.096.816,7669;1.994.109,6773;2.440.866,8115;308,26;147,30;1.303.524,9039;1.630.743,2349;-619.378,0244;-606.008,7976
0,05;4;11,5;315,0000;5.756,0000;1.677.816,3306;-185.338,2691;-48.882,0231;76,38;1.249.560,0790;1.307.861,8245;586.482,6844;1.271.372,3509;761.257,4258;1.690.264,1674;-355.693,4153;1.712.747,5046;-82.660,1639;1.479.788,4108;0,79;0,99;-48.766,3477;-32.149,5481;1.120.474,7739;-557.294,1321;-911.444,3546;406.662,7819;144,17;-620.465,6941;817.658,1711;962.396,2815;2.470.925,1388;2.470.387,5332;833.176,6910;20,25;345,31;1.642.722,9416;2.060.644,3801;2.241.480,8674;2.186.115,3404
0,1;4;12,5;148,0000;3.460,0000;2.484.286,8198;1.441.253,3785;1.969.980,7507;262,45;189.156,7468;-869.118,1470;1.074.752,8302;-344.690,9650;-756.022,9631;955.159,4664;1.816.676,6267;-365.893,4575;551.502,6221;-87.292,6416;0,18;0,30;1.231.340,1169;2.179.729,0990;-886.915,5847;2.071.688,3814;1.107.379,8717;1.475.637,7905;293,50;-361.969,5914;1.893.065,9587;-314.434,1544;-733.304,2765;235.101,1176;-252.687,8845;228,85;118,80;362.102,4347;1.209.632,3740;2.381.082,3106;1.181.163,8923
0,15;4;13,5;120,0000;4.706,0000;2.334.305,8083;-460.534,1414;149.092,7806;351,38;-714.705,0438;846.586,0402;1.079.208,9168;664.069,4889;1.629.147,9426;2.246.337,5941;323.214,4238;552.604,1523;-120.130,6340;479.715,1277;0,63;0,32;-29.008,6110;954.805,5710;1.348.899,0460;1.717.452,0632;249.049,3499;419.323,6210;40,80;567.429,5767;-366.337,2355;308.127,6881;2.049.607,6564;-763.103,9543;1.026.977,1378;75,54;353,85;560.992,1189;1.873.733,1412;693.074,4602;-127.740,4598
0,2;4;14,5;322,0000;1.649,0000;2.161.154,2627;-895.186,8650;-955.520,3268;160,47;1.965.479,9459;1.741.178,5039;590.044,4364;1.262.878,3742;170.167,7217;997.562,7904;1.588.151,8163;-949.307,2295;-531.940,8956;2.064.485,2176;0,19;0,87;33.942,7422;1.820.846,4985;843.826,3525;232.549,4451;1.160.025,5502;-61.250,5401;160,63;390.113,7354;-832.049,8366;1.082.560,6565;-574.745,8586;2.153.727,8380;791.455,9111;206,85;176,40;1.798.863,6433;2.187.941,6430;908.068,7154;1.079.795,5418
0,25;4;15,5;300,0000;6.053,0000;1.036.597,6033;-982.814,1873;371.828,0960;68,42;-363.708,9153;398.033,8424;1.000.685,8826;-839.296,9164;853.389,6781;2.260.413,6606;-276.068,4793;2.490.484,7063;937.418,4020;1.318.216,1702;0,32;0,47;118.021,5001;-324.677,6995;584.242,3807;1.223.493,9281;1.284.407,8363;1.781.437,6536;167,58;1.554.999,3491;490.046,5924;-824.977,6207;36.581,5860;1.811.551,6985;310.867,3639;159,40;298,26;753.951,0929;1.320.466,1086;135.869,6432;1.640.523,1801
0,3;4;16,5;352,0000;1.912,0000;263.779,6888;631.721,4428;416.528,1152;309,76;318.680,6667;772.648,1460;2.192.781,3475;-189.801,5572;53.436,5626;-188.997,4510;-328.413,5553;-230.901,8703;-185.593,4328;811.696,9271;0,65;0,47;-231.386,3686;1.888.264,3673;1.338.818,1146;1.678.416,9368;326.164,0368;1.679.121,9532;164,85;2.060.831,2225;-407.238,4118;1.876.404,7532;-955.053,4897;-929.520,8604;1.998.611,6882;233,57;181,57;-250.645,7558;771.105,4216;-574.897,3001;1.241.420,5063
0,35;4;17,5;126,0000;4.230,0000;-551.891,9603;1.241.778,7190;1.992.676,7244;205,62;-431.420,3602;-378.369,3172;72.316,0752;629.803,2027;552.322,8181;287.810,0431;1.065.407,0060;-45.531,4421;-381.173,9302;2.188.962,7229;0,16;0,47;66.407,3221;248.332,6522;-780.707,0540;2.370.251,9008;2.133.926,0454;260.695,7001;331,93;818.031,1344;2.221.547,3182;-874.657,8243;-32.695,3869;1.652.366,3923;-433.513,8798;300,32;306,55;-251.467,9678;2.025.566,4553;432.373,9200;516.151,0092
0,4;4;18,5;355,0000;1.629,0000;-808.059,8903;1.741.625,4484;1.909.926,9891;6,47;718.026,4606;-925.834,5771;1.947.296,7353;1.383.769,5231;662.185,9800;928.260,0721;616.554,4720;1.416.637,5881;1.256.969,9521;955.447,3061;0,72;0,16;1.504.645,8979;-117.329,6953;1.833.379,0321;1.310.614,5386;2.271.094,9055;-107.728,7553;148,67;1.991.228,7762;1.910.458,5150;-421.020,2286;213.815,1794;2.462.403,9349;2.393.783,2824;207,74;185,16;-682.009,1236;594.198,5428;-544.428,2696;1.215.337,0256
0,45;4;19,5;18,0000;6.809,0000;1.255.550,8020;2.226.899,2812;897.889,7041;189,34;1.288.806,5770;1.311.648,2889;485.189,2626;2.354.317,4981;1.520.500,0118;-622.619,1702;595.838,1661;-455.284,7603;293.110,3790;1.177.149,3397;0,92;0,35;1.181.494,1209;2.111.834,5436;-429.541,6339;-208.161,4329;1.222.817,6526;2.391.012,6975;21,60;-733.289,1809;-746.417,0924;85.326,4921;2.329.816,9214;1.673.051,4003;1.715.880,6353;305,72;264,12;752.526,7193;-672.500,9779;-436.354,4548;2.431.584,8454
0,5;4;20,5;213,0000;2.108,0000;1.164.845,1073;1.385.705,2865;-340.101,4146;281,29;2.266.957,9897;-757.468,6767;2.454.252,2833;1.133.663,5549;-264.363,4769;380.556,4462;1.316.293,2027;397.039,2818;218.451,3818;2.425.024,3321;0,83;0,28;-10.182,5246;1.881.060,2180;-851.110,2113;1.508.542,9111;261.517,5104;-116.094,1400;4,31;1.266.523,8785;-238.640,3399;908.557,2964;1.304,4663;-239.554,4228;1.868.544,5129;264,98;259,10;1.635.890,4480;1.130.366,2430;727.380,7016;-223.736,4769
0,55;4;21,5;209,0000;1.148,0000;-509.315,8569;374.543,9067;1.119.972,8608;60,05;890.660,9461;231.523,1191;-502.723,1757;-885.650,3358;83.781,2959;2.012.342,5908;2.175.574,8006;1.642.943,4053;1.644.043,2712;-269.628,5886;0,72;0,82;-363.177,5213;-723.886,1010;519.158,4072;1.731.482,1716;2.474.992,1459;-140.401,4210;207,62;2.244.361,4143;541.047,6427;-631.387,0339;18.517,4949;-429.231,8166;-481.231,5312;162,92;160,38;-574.360,8410;-80.475,0266;-502.041,4808;-835.758,3047
0,6;4;22,5;32,0000;4.161,0000;923.979,6416;875.435,0573;1.846.903,1802;132,53;-411.498,6262;-71.815,9774;2.087.517,7488;231.555,2791;-130.681,6806;192.871,1100;-636.057,7568;1.703.133,3108;356.932,8501;-267.588,6997;0,66;0,47;-85.804,4717;1.645.859,1496;807.232,6952;2.341.113,0290;38.697,1245;515.355,0225;111,56;2.440.691,2930;1.387.312,0770;1.863.858,4202;1.706.972,2541;1.967.592,4964;1.082.785,2139;235,50;262,57;104.488,8387;1.133.741,2336;1.896.579,3725;1.374.046,4171
